game_id,created_at,bone_count,revealed_count,hit_bone,cash_out_position,multiplier,is_simulated,bone_positions,chicken_positions,revealed_sequence,first_position,last_position,game_duration_positions,success_rate,risk_level
cml7wmnkh018g29eg59r5zgq3,2026-02-04T10:48:27.089Z,4,4,false,4,1.7,true,"6,14,24,25","1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23","11,13,23,15",11,15,4,1.000,LOW
cml7wmnjv017q29egmg6ct9c5,2026-02-04T10:48:27.064Z,4,1,true,,,true,"2,5,8,15","1,3,4,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25","15",15,15,1,0.000,LOW
cml7wmnj8017029eg61kyj9os,2026-02-04T10:48:27.045Z,4,3,true,,,true,"6,17,19,24","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,25","7,12,19",7,19,3,0.667,LOW
cml7wmnir016a29eguwd10kf0,2026-02-04T10:48:27.027Z,4,4,false,4,1.7,true,"1,3,10,16","2,4,5,6,7,8,9,11,12,13,14,15,17,18,19,20,21,22,23,24,25","15,7,8,12",15,12,4,1.000,LOW
cml7wmni4015k29egqb9rwax7,2026-02-04T10:48:27.004Z,4,4,false,4,1.7,true,"1,6,18,21","2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,19,20,22,23,24,25","22,23,14,7",22,7,4,1.000,LOW
cml7wmnhg014u29egz8h1sd20,2026-02-04T10:48:26.980Z,4,4,false,4,1.7,true,"4,9,14,20","1,2,3,5,6,7,8,10,11,12,13,15,16,17,18,19,21,22,23,24,25","8,12,15,22",8,22,4,1.000,LOW
cml7wmngt014429egiks4s2lc,2026-02-04T10:48:26.958Z,4,1,true,,,true,"5,8,19,25","1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24","19",19,19,1,0.000,LOW
cml7wmng1013e29egsdqrrkk7,2026-02-04T10:48:26.929Z,4,4,false,4,1.7,true,"2,15,16,17","1,3,4,5,6,7,8,9,10,11,12,13,14,18,19,20,21,22,23,24,25","13,8,14,19",13,19,4,1.000,LOW
cml7wmnfe012o29egqrf8utru,2026-02-04T10:48:26.906Z,4,1,true,,,true,"5,6,8,11","1,2,3,4,7,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25","11",11,11,1,0.000,LOW
cml7wmnet011y29egtb1fl5rk,2026-02-04T10:48:26.885Z,4,4,false,4,1.7,true,"1,5,6,20","2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25","15,23,11,14",15,14,4,1.000,LOW
cml7wmne4011829eg0hzv3s8t,2026-02-04T10:48:26.861Z,4,4,false,4,1.7,true,"3,5,17,21","1,2,4,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25","14,13,23,7",14,7,4,1.000,LOW
cml7wmndl010i29eg39fpf1lf,2026-02-04T10:48:26.841Z,4,4,false,4,1.7,true,"7,9,13,18","1,2,3,4,5,6,8,10,11,12,14,15,16,17,19,20,21,22,23,24,25","22,11,12,19",22,19,4,1.000,LOW
cml7wmnd000zs29eglypr9dli,2026-02-04T10:48:26.821Z,4,4,false,4,1.7,true,"10,14,20,21","1,2,3,4,5,6,7,8,9,11,12,13,15,16,17,18,19,22,23,24,25","23,12,7,11",23,11,4,1.000,LOW
cml7wmnc800z229eghhbhv4ag,2026-02-04T10:48:26.793Z,4,4,false,4,1.7,true,"5,12,17,25","1,2,3,4,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,24","11,7,23,14",11,14,4,1.000,LOW
cml7wmnbn00yc29egtysl2wkq,2026-02-04T10:48:26.771Z,4,4,false,4,1.7,true,"1,2,10,21","3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25","12,15,22,11",12,11,4,1.000,LOW
cml7wmnaw00xm29egwkzyoaz1,2026-02-04T10:48:26.744Z,4,3,true,,,true,"4,18,19,24","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21,22,23,25","23,7,19",23,19,3,0.667,LOW
cml7wmna900ww29eg3j40chpa,2026-02-04T10:48:26.721Z,4,4,true,,,true,"2,11,16,19","1,3,4,5,6,7,8,9,10,12,13,14,15,17,18,20,21,22,23,24,25","8,23,12,11",8,11,4,0.750,LOW
cml7wmn9i00w629eg0bj8evb7,2026-02-04T10:48:26.694Z,4,4,true,,,true,"9,12,13,20","1,2,3,4,5,6,7,8,10,11,14,15,16,17,18,19,21,22,23,24,25","22,19,14,13",22,13,4,0.750,LOW
cml7wmn8x00vg29egks3364i2,2026-02-04T10:48:26.673Z,4,4,false,4,1.7,true,"1,11,17,23","2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,22,24,25","22,13,19,15",22,15,4,1.000,LOW
cml7wmn8400uq29egtnz3aay2,2026-02-04T10:48:26.644Z,4,4,false,4,1.7,true,"3,5,10,12","1,2,4,6,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,24,25","11,13,19,14",11,14,4,1.000,LOW
cml7wmn7k00u029egh4rb5or9,2026-02-04T10:48:26.625Z,4,2,true,,,true,"9,11,15,25","1,2,3,4,5,6,7,8,10,12,13,14,16,17,18,19,20,21,22,23,24","23,11",23,11,2,0.500,LOW
cml7wmn6r00ta29egt8l4m4ry,2026-02-04T10:48:26.595Z,4,4,false,4,1.7,true,"13,16,20,23","1,2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,19,21,22,24,25","12,7,11,14",12,14,4,1.000,LOW
cml7wmn6800sk29eghzmsdee9,2026-02-04T10:48:26.576Z,4,4,false,4,1.7,true,"1,3,6,24","2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25","22,19,11,15",22,15,4,1.000,LOW
cml7wmn5o00ru29eglharcunh,2026-02-04T10:48:26.557Z,4,4,false,4,1.7,true,"5,14,16,20","1,2,3,4,6,7,8,9,10,11,12,13,15,17,18,19,21,22,23,24,25","12,15,23,19",12,19,4,1.000,LOW
cml7wmn4y00r429eg2kl355cd,2026-02-04T10:48:26.531Z,4,4,false,4,1.7,true,"3,17,21,24","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,25","15,12,7,13",15,13,4,1.000,LOW
cml7wmn4f00qe29egmmg4n1j5,2026-02-04T10:48:26.512Z,4,1,true,,,true,"2,5,7,18","1,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25","7",7,7,1,0.000,LOW
cml7wmn3x00po29egg5hm40oc,2026-02-04T10:48:26.493Z,4,4,true,,,true,"11,15,17,18","1,2,3,4,5,6,7,8,9,10,12,13,14,16,19,20,21,22,23,24,25","7,13,8,15",7,15,4,0.750,LOW
